nat_demand,holiday,school,avg_T2M,avg_QV2M,avg_TQL,avg_W2M,season,month,day_of_week,hour_of_day,is_weekend,year,nat_demand_1hr_lag,nat_demand_24hr_lag,nat_demand_1week_lag
906.958,0,0,23.60670369466148,0.01645690333333333,0.06615193633333333,13.350306879825004,0,1,5,1,1,2015,949.5031,943.6081,970.345
863.5135,0,0,23.544295247395855,0.016462060666666667,0.06359863266666667,13.84068913451051,0,1,5,2,1,2015,906.958,917.064,912.1755
848.4447,0,0,23.504724121093773,0.016502786,0.065864562,14.086839825770163,0,1,5,3,1,2015,863.5135,895.9092,900.2688
839.8821,0,0,23.527714029947944,0.016571338333333335,0.06248728533333333,14.010865879625934,0,1,5,4,1,2015,848.4447,885.272,889.9538
847.1073,0,0,23.570540364583355,0.016650471666666666,0.054684957,13.581109161966685,0,1,5,5,1,2015,839.8821,884.8111,893.6865
848.4718,0,0,23.608666992187523,0.016687454,0.050383249,13.332827595042524,0,1,5,6,1,2015,847.1073,866.5622,879.2323
897.8229,0,0,24.29687906901044,0.016861087,0.04890950533333333,14.749225566747286,0,1,5,7,1,2015,848.4718,883.0248,932.4876
1021.672,0,0,25.459924316406276,0.016935281333333333,0.044222514,17.182454635833185,0,1,5,8,1,2015,897.8229,953.57,1048.972
1108.9439,0,0,26.65054728190107,0.016884948,0.03933715933333334,18.64648701113588,0,1,5,9,1,2015,1021.672,1006.9689,1167.9074
1165.4756,0,0,27.635705566406276,0.016844730666666665,0.03676986633333334,19.186395627873882,0,1,5,10,1,2015,1108.9439,1058.0176,1257.5069
1179.063,0,0,28.38385416666669,0.016895496666666666,0.035925547,19.02687832573545,0,1,5,11,1,2015,1165.4756,1088.0395,1254.583
1173.0899,0,0,28.8622985839844,0.016984409333333336,0.029717127533333335,18.336288523691895,0,1,5,12,1,2015,1179.063,1080.8465,1216.9004
1161.4116,0,0,29.06634928385419,0.017007387,0.029835382133333335,17.49071961769484,0,1,5,13,1,2015,1173.0899,1073.435,1202.1556
1133.3133,0,0,28.98573201497398,0.016961921666666668,0.034450532166666666,16.77703346591318,0,1,5,14,1,2015,1161.4116,1075.0293,1197.2616
